Review,Group
"['good', 'u', 'want', 'play', 'song', 'give', 'song', 'yo', 'listen', 'instaed', 'song', 'sometimes', 'u', 'try', 'get', 'song', 'skip', 'limited', 'effect', 'playlist', 'u', 'ca', 'nt', 'enjoy', 'ur', 'song', 'without', 'song', 'interfere', 'eepecially', 'add', 'song', 'u', 'do', 'nt', 'like', 'ur', 'playlist']",Positive Group 34
"['love', 'spotify', 'listen', 'music', 'podcasts', 'premium', 'account', 'worth', 'every', 'penny']",Positive Group 35
"['love', 'spotify', 'wish', 'download', 'music']",Positive Group 36
"['awesome', 'great', 'music', 'app']",Positive Group 37
"['doe', 'nt', 'let', 'choose', 'song']",Positive Group 38
"['load', 'time', 'wonderful', 'short', 'do', 'nt', 'wait', 'long', 'hear', 'next', 'best', 'thing']",Positive Group 39
"['really', 'enjoy', 'music', 'life', 'nice', 'app', 'thanks', 'spotify']",Positive Group 40
"['love', 'spotify', 'great', 'family']",Positive Group 41
"['excellent', 'music', 'experience']",Positive Group 42
"['amazing', 'app', 'use', 'time', 'affordable', 'look', 'app', 'lift', 'mood', 'spotify', 'one', 'go']",Positive Group 43
"['spotify', 'literally', 'account', 'everything', 'come', 'best', 'music', 'experience', 'easy', 'use', 'there', 's', 'still', 'many', 'feature', 'honestly', 'did', 'nt', 'realize', 'much', 'need', 'got', 'would', 'recommend', 'apple', 'music', 'aesthetically', 'pleasing', 'way', 'better', 'feature', 'get', 'spotify', 'premium', 'even', 'ad', 'still', 'good']",Positive Group 44
"['good', 'audio', 'play', 'experience', 'spotify']",Positive Group 45
"['best', 'music', 'app', 'till']",Positive Group 46
"['use', 'app', 'last', 'year', 'straight', 'always', 'use', 'premium', 'essential']",Positive Group 47
"['best', 'song', 'app']",Positive Group 48
"['nice', 'music', 'quality']",Positive Group 49
"['amazing', 'song', 'artist', 'great', 'app', 'review']",Positive Group 50
"['really', 'love', 'favorite', 'thing', 'app', 'lyric', 'amazing', 'love', 'sing', 'along', 'favorite', 'song']",Positive Group 51
"['best', 'music', 'appbest', 'collectionsthey', 'wil', 'create', 'playlist', 'specially', 'youui', 'love', 'best', 'app', 'ever']",Positive Group 52
"['nice', 'app', 'love', 'spotify']",Positive Group 53
"['easy', 'play', 'singer', 'song', 'want', 'herethank']",Positive Group 54
"['amazing', 'app', 'option', 'download', 'song', 'completely', 'fantasy']",Positive Group 55
"['i', 'm', 'speechless', 'app', 'amazing']",Positive Group 56
"['use', 'app', 'year', 'love', 'much']",Positive Group 57
"['nice', 'one', 'thanks', 'help', 'support']",Positive Group 58
"['one', 'best', 'music', 'app', 'time', 'amazing', 'could', 'would', 'give']",Positive Group 59
"['ittrade_marks', 'best', 'app', 'ever', 'use', 'listen', 'music', 'numerous', 'option', 'playlist', 'specially', 'blendsspotify', 'really', 'know', 'well', 'create', 'playlist', 'favourite', 'song', 'appreciated', 'artist', 'mixgenre', 'mixmood', 'mix', 'good', 'like', 'use', 'spotify', 'wish', 'advantage', 'use', 'free', 'account', 'example', 'skip', 'song']",Positive Group 60
"['probably', 'best', 'app', 'find', 'play', 'store', 'musici', 'love', 'every', 'feature', 'app', 'opinion', 'must', 'add', 'caler', 'tone', 'ringtone', 'option', 'spotify', 'spotify', 'song', 'apps', 'do', 'nt', 'add', 'feature', 'pay', 'listener', 'ill', 'amazing']",Positive Group 61
"['find', 'song', 'love', 'sometimes', 'ca', 'nt', 'find', 'older', 'song', 'love', 'none', 'le']",Positive Group 62
"['great', 'music', 'app', 'favorite', 'know', 'like', 'one', 'thing', 'do', 'nt', 'like', 'limit', 'amount', 'skip', 'eatch', 'hour', 'recommend', 'get', 'app', 'great', 'listen', 'song', 'friend', 'love', 'make', 'playlist', 'one', 'song']",Positive Group 63
"['best', 'music', 'app', 'good', 'quality', 'song', 'sometimes', 'give', 'min', 'without', 'interruption', 'hundred', 'thousand', 'song', 'high', 'quality', 'really', 'recommend', 'download']",Positive Group 64
"['time', 'always', 'point']",Positive Group 65
"['great', 'music', 'easy', 'use', 'amazing', 'selection', 'variety']",Positive Group 66
"['work', 'well', 'part', 'hang', 'occasionally', 'bug']",Positive Group 67
"['work', 'little', 'doe', 'nt', 'press', 'play', 'button', 'song', 'whole', 'different', 'song', 'play', 'something', 'i', 've', 'never', 'hear', 'press', 'show', 'song', 'i', 've', 'request', 'play', 'please', 'fix']",Positive Group 68
"['good', 'app', 'listen', 'music']",Positive Group 69
"['best', 'aap', 'listen', 'music']",Positive Group 70
"['best', 'music', 'stream', 'app', 'android', 'io', 'provide', 'various', 'song', 'choose', 'base', 'person', 'personal', 'recommendation']",Positive Group 71
"['amazing', 'app', 'decent', 'amount', 'add']",Positive Group 72
"['amazing', 'easy', 'use', 'app', 'good', 'use']",Positive Group 73
"['good', 'app', 'good', 'music']",Positive Group 74
"['always', 'spotify', 'computer', 'get', 'phone', 'great', 'use', 'doe', 'nt', 'take', 'long', 'open', 'great']",Positive Group 75
"['best', 'app', 'music', 'lover']",Positive Group 76
"['brilliant', 'always']",Positive Group 77
"['generally', 'good', 'lot', 'music', 'like', 'miss', 'thing', 'do', 'nt', 'want', 'suggestion', 'fir', 'kanye', 'etc', 'doe', 'nt', 'suggest', 'appropriate', 'tune']",Positive Group 78
"['use', 'app', 'multiple', 'time', 'daily', 'might', 'actually', 'use', 'app', 'spotify', 'amazing', 'extremely', 'large', 'collection', 'music']",Positive Group 79
"['love', 'spotify', 'add', 'free', 'option', 'keep', 'record', 'different', 'type', 'music', 'artist', 'band', 'old', 'new', 'school', 'like', 'spotify', 'make', 'daily', 'mix', 'check', 'love', 'plus', 'get', 'daily', 'horoscope', 'reading', 'way', 'work', 'spotify', 'copyright']",Positive Group 80
"['select', 'song', 'get', 'something', 'else', 'ask', 'rhcp', 'get', 'limp', 'bizkit', 'deal', 'dozen', 'ad', 'it', 'd', 'nice', 'get', 'music', 'actually', 'choose']",Positive Group 81
"['love', 'selection', 'many', 'choose']",Positive Group 82
"['thank', 'youyou', 'bring', 'back', 'young', 'girl', 'love', 'look', 'old', 'music']",Positive Group 83
"['love', 'spotify', 'play', 'great', 'music']",Positive Group 84
"['music', 'podcasts', 'exercise', 'shower', 'cook', 'eat', 'whenever', 'want', 'feel', 'upbeat', 'focused', 'want', 'listen', 'great', 'interview', 'great', 'app']",Positive Group 85
"['best', 'app', 'streaming', 'latest', 'music', 'hand', 'spotify', 'duo', 'parter', 'create', 'account', 'playlist', 'one', 'small', 'price', 'absolutely', 'love', 'spotify', 'highly', 'recommend']",Positive Group 86
"['best', 'pod', 'cast', 'music']",Positive Group 87
"['best', 'option', 'music', 'everything', 'think', 'spotify', 'give', 'recommendation', 'make', 'mix', 'give', 'concert', 'info']",Positive Group 88
"['quantity', 'different', 'type', 'music', 'fantastic', 'although', 'quality', 'poor', 'time']",Positive Group 89
"['popup', 'get', 'best', 'spotify', 'experience', 'android', 'annoying', 'please', 'let', 'get', 'rid']",Negative Group 0
"['really', 'buggy', 'terrible', 'use', 'recently']",Negative Group 1
"['dear', 'spotify', 'get', 'song', 'did', 'nt', 'put', 'playlist', 'shuffle', 'play']",Negative Group 2
"['player', 'control', 'sometimes', 'disappear', 'reason', 'app', 'restart', 'forget', 'playing', 'fix', 'issue']",Negative Group 3
"['still', 'extremely', 'slow', 'change', 'storage', 'external', 'sd', 'card', 'i', 'm', 'convince', 'do', 'purpose', 'spotify', 'know', 'issue', 'do', 'nothing', 'solve', 'time', 'change', 'sd', 'card', 'faster', 'read', 'write', 'speedsall', 'samsung', 'brand', 'please', 'add', 'do', 'nt', 'like', 'song', 'never', 'appear', 'search', 'playlist']",Negative Group 4
"['i', 'm', 'delete', 'app', 'follow', 'reason', 'app', 'fail', 'business', 'model', 'whether', 'streaming', 'service', 'like', 'consumer', 'doe', 'nt', 'want', 'pay', 'music', 'ca', 'nt', 'fully', 'ad', 'successively', 'upon', 'log', 'single', 'song', 'much', 'close', 'app', 'ad', 'number', 'i', 'm', 'patient', 'way', 'profit', 'you', 've', 'already', 'peak', 'that', 's', 'leave', 'decline']",Negative Group 5
"['ca', 'nt', 'play', 'spotify', 'wifi']",Negative Group 6
"['amazon', 'premium', 'music', 'family', 'package', 'good', 'everyone', 'could', 'listen', 'whatever', 'like', 'respective', 'alexas', 'room', 'ask', 'play', 'problem', 'spotify', 'premium', 'family', 'alexa', 'integration', 'poor', 'doe', 'nt', 'like', 'spotify', 'stop', 'play', 'time', 'ca', 'nt', 'play', 'different', 'alexa', 'device', 'time', 'ask', 'is', 'nt', 'integration', 'better']",Negative Group 7
"['worst', 'app', 'always', 'say', 'i', 'm', 'offline', 'never', 'show', 'song', 'podcast']",Negative Group 8
"['android', 'user', 'load', 'glitches', 'app', 'player', 'bar', 'disappear', 'shuffle', 'button', 'missingsort', 'please']",Negative Group 9
"['ca', 'nt', 'listen', 'download', 'playlist', 'i', 'm', 'offline', 'what', 's', 'point', 'feature', 'disappoint']",Negative Group 10
"['always', 'crash', 'unable', 'play', 'stop', 'work', 'everytime', 'use']",Negative Group 11
"['know', 'ad', 'cost', 'free', 'use', 'yes', 'that', 's', 'right', 'ad', 'straight', 'back', 'back', 'like', 'hlaf', 'minute', 'sometimes', 'do', 'nt', 'think', 'that', 's', 'little', 'much', 'even', 'volume', 'increase', 'ad']",Negative Group 12
"['log', 'acc', 'try', 'open', 'log', 'wo', 'nt', 'open', 'see', 'logo']",Negative Group 13
"['usually', 'love', 'app', 'i', 'm', 'problem', 'everyone', 'else', 'report', 'random', 'pause', 'stop', 'play', 'doe', 'nt', 'restart', 'currently', 'ca', 'nt', 'view', 'song', 'podcast', 'i', 'm', 'currently', 'play', 'ca', 'nt', 'pause', 'skip', 'back', 'forth', 'fairly', 'unusable', 'stage', 'is', 'nt', 'acceptable', 'pay', 'service']",Negative Group 14
"['ca', 'nt', 'listen', 'download', 'stuff', 'offline']",Negative Group 15
"['app', 'show', 'internet', 'available', 'phone', 'wifi', 'data', 'work', 'already', 'fred', 'add', 'happen', 'time', 'want', 'search', 'song']",Negative Group 16
"['option', 'delete', 'song', 'album', 'option', 'download', 'one', 'track', 'album', 'option', 'shuffle', 'music', 'library', 'without', 'create', 'playlist', 'like', 'music']",Negative Group 17
"['wow', 'sudden', 'login', 'doe', 'nt', 'work', 'even', 'though', 'i', 'm', 'positive', 'correct', 'morning', 'app', 'ask', 'login', 'ha', 'nt', 'happen', 'obviously', 'problem', 'find', 'email', 'account', 'tell', 'change', 'password', 'suspicious', 'behaviour', 'yeah', 'log', 'spotify', 'xbox', 'suspicious', 'thanks', 'stress', 'morning', 'did', 'nt', 'need', 'wo', 'nt', 'renewingmy', 'way', 'teaching', 'lesson']",Negative Group 18
"['unable', 'use', 'ph', 'get', 'download', 'unable', 'log']",Negative Group 19
"['plz', 'remove', 'add', 'ther', 'continuously', 'add', 'list', 'remove', 'add', 'give', 'add']",Negative Group 20
"['like', 'song', 'play', 'offline', 'help', 'signal', 'problem']",Negative Group 21
"['sometimes', 'try', 'listen', 'playlist', 'play', 'first', 'song', 'try', 'go', 'different', 'one', 'go', 'back', 'first', 'one', 'little', 'weird']",Negative Group 22
"['commercial', 'add', 'need', 'wifi', 'use', 'satellite', 'radio', 'station', 'pick', 'least', 'that', 's', 'look']",Negative Group 23
"['what', 's', 'deal', 'compare', 'desktop', 'version', 'inferior', 'ability', 'play', 'song', 'bare', 'barely', 'free', 'need', 'say', 'think', 'make', 'point', 'clear', 'enough']",Negative Group 24
"['account', 'glitching', 'log', 'try', 'fix', 'wo', 'nt', 'let', 'log', 'back', 'show', 'logo', 'never', 'sign', 'screen']",Negative Group 25
"['everything', 'go', 'open', 'app', 'last', 'week', 'there', 's', 'play', 'bar', 'go', 'open', 'shuts', 'right', 'back']",Negative Group 26
"['lose', 'download', 'button', 'ca', 'nt', 'download', 'playlist']",Negative Group 27
"['videoke', 'feature', 'doe', 'nt', 'show', 'device']",Negative Group 28
"['love', 'feature', 'app', 'one', 'thing', 'bit', 'expensive', 'month', 'subcription']",Negative Group 29
"['podcasts', 'become', 'nightmare', 'try', 'get', 'rid', 'podcasts', 'app', 'ridiculous', 'stupid', 'thing', 'home', 'page', 'click', 'interested', 'till', 'you', 're', 'blue', 'face', 'ill', 'keep', 'throw', 'spam', 'cast']",Negative Group 30
"['downside', 'rotate', 'song', 'one', 'month', 'listen', 'great', 'song', 'next', 'month', 'maybe']",Negative Group 31
"['keep', 'cut', 'show', 'song', 'playing']",Negative Group 32
"['much', 'add', 'like', 'get', 'add', 'start', 'song', 'need', 'premium', 'play', 'song']",Negative Group 33
"['exceptional', 'application', 'online', 'song', 'love', 'option', 'merge', 'app', 'inter', 'music', 'player', 'samsung', 'overall', 'application', 'work', 'flow', 'le']",Negative Group 34
"['since', 'disney', 'start', 'pay', 'ad', 'disney', 'nonpremium', 'version', 'spotify', 'become', 'useless', 'song', 'get', 'least', 'ad', 'one', 'two', 'disney', 'sometimes', 'one', 'change', 'review', 'wo', 'nt', 'get', 'many', 'ad']",Negative Group 35
"['dose', 'go', 'play', 'like', 'song', 'song', 'have', 'nt', 'even', 'look', 'that', 's', 'get', 'three', 'star']",Negative Group 36
"['trash', 'app', 'ca', 'nt', 'even', 'log', 'via', 'fb', 'account']",Negative Group 37
"['good', 'first', 'would', 'nt', 'let', 'pick', 'song', 'force', 'listen', 'entire', 'playlist', 'get', 'fav', 'song', 'limit', 'skip', 'per', 'hour', 'limit', 'skip', 'song']",Negative Group 38
"['love', 'soo', 'much', 'rate', 'star', 'problem', 'constant', 'ad', 'sing', 'option', 'near', 'lyric', 'doe', 'nt', 'seem', 'appear', 'anymore']",Negative Group 39
"['would', 'rate', 'whenever', 'play', 'something', 'playlist', 'change', 'different', 'song', 'playlist', 'hope', 'get', 'fix', 'soon']",Negative Group 40
"['much', 'long', 'ad']",Negative Group 41
"['did', 'nt', 'really', 'like', 'app', 'whenever', 'play', 'song', 'play', 'different', 'one']",Negative Group 42
"['issue', 'app', 'year', 'premium', 'user', 'really', 'struggle', 'someone', 'else', 'say', 'player', 'ca', 'nt', 'skip', 'pause', 'etc', 'sure', 'i', 'm', 'samsung', 'galaxy', 'come', 'back', 'briefly', 'restart', 'phone', 'trade_mark']",Negative Group 43
"['always', 'stick', 'black', 'screen']",Negative Group 44
"['give', 'le', 'one', 'star', 'app', 'play', 'many', 'add', 'every', 'song', 'purchase', 'premium', 'give', 'many', 'add', 'irritate', 'lot', 'mood']",Negative Group 45
"['really', 'like', 'spotify', 'do', 'nt', 'proplem', 'ad', 'shuffle', 'skip', 'per', 'hour', 'annoy', 'neither', 'want', 'pay', 'spotify', 'premium', 'switch', 'another', 'app', 'make', 'spotify', 'really', 'hard', 'use']",Negative Group 46
"['please', 'turn', 'shuffle', 'play']",Negative Group 47
"['middle', 'song', 'pause', 'restarts', 'whole', 'song', 'go', 'app', 'play', 'song']",Negative Group 48
"['glitchy', 'audio', 'randomly', 'drop', 'stop', 'play', 'control', 'bar', 'disappear', 'bottom', 'screen', 'unable', 'pause', 'stop', 'skip', 'audio', 'without', 'close', 'app']",Negative Group 49
"['hate', 'spotify', 'free', 'listen', 'half', 'song', 'mobile', 'hate', 'f', 'u']",Negative Group 50
"['uninstalled', 'app', 'do', 'nt', 'use', 'anymore', 'soon', 'ad', 'appear', 'youtube', 'video', 'freak', 'desperate', 'promote', 'much', 'please', 'buzz']",Negative Group 51
"['hell', 'i', 'm', 'issue', 'patoto', 'man', 'minus', 'random', 'song', 'add', 'ca', 'nt', 'even', 'choose', 'song', 'want', 'play', 'ca', 'nt', 'view', 'properly', 'ca', 'nt', 'play', 'directly', 'start', 'second', 'snippet', 'song', 'ca', 'nt', 'even', 'listen', 'music', 'want', 'ca', 'nt', 'even', 'playlist', 'play', 'music', 'want', 'big', 'one', 'seem', 'samsung', 'google', 'play', 'store', 'issue', 'play', 'fine', 'apple', 'mobile', 'device', 'like', 'ipads']",Negative Group 52
"['app', 'good', 'fixe', 'ca', 'nt', 'sign']",Negative Group 53
"['dude', 'app', 'good', 'today', 'use', 'later', 'day', 'check', 'wo', 'nt', 'let', 'play', 'playlist', 'random', 'song', 'add', 'toy', 'playlist', 'ca', 'nt', 'even', 'select', 'song', 'want', 'play', 'listen', 'short', 'period', 'time', 'say', 'add', 'playlist', 'bottom', 'part', 'say', 'add', 'do', 'nt', 'know', 'want', 'listen', 'full', 'song', 'without', 'random', 'bot', 'add', 'random', 'song', 'do', 'nt', 'even', 'like', 'interest']",Negative Group 54
"['work', 'super', 'well', 'work', 'app', 'doe', 'nt', 'seem', 'want', 'load', 'th', 'time', 'ultra', 'laggy', 'lock', 'phone', 'occationally', 'make', 'sense', 'otherwise', 'feature', 'plentiful', 'find', 'anything']",Negative Group 55
"['ca', 'nt', 'even', 'listen', 'favorite', 'song', 'bc', 'shuffle', 'try', 'different', 'account', 'doe', 'nt', 'even', 'change', 'even', 'little']",Negative Group 56
"['love', 'listen', 'music', 'use', 'cop', 'mechanism', 'love', 'spotify', 'much', 'day', 'ago', 'spotify', 'would', 'nt', 'load', 'would', 'stay', 'spotify', 'logo', 'screen', 'thing', 'try', 'instal', 'uninstalling', 'time', 'restart', 'phone', 'time', 'clear', 'cachedata', 'time', 'still', 'ca', 'nt', 'open', 'also', 'wait', 'hour', 'load']",Negative Group 57
"['use', 'good', 'do', 'nt', 'let', 'play', 'playlist', 'pause', 'stop', 'start', 'go', 'back', 'track', 'phone', 'samsung', 'email', 'spotify', 'ask', 'help', 'member', 'nothing', 'work']",Negative Group 58
"['app', 'available', 'year', 'amount', 'issue', 'frustrating', 'like', 'say', 'stop', 'play', 'randomly', 'background', 'even', 'though', 'allow', 'background', 'data', 'use', 'time', 'run', 'background', 'app', 'dissappears', 'toolbar', 'open', 'independently', 'way', 'click', 'play', 'bottom', 'must', 'force', 'close']",Negative Group 59
"['ca', 'nt', 'open', 'app', 'day', 'please', 'fix']",Negative Group 60
"['bad', 'ca', 'nt', 'directly', 'play', 'song', 'press']",Negative Group 61
"['app', 'work', 'well', 'v', 'try', 'install', 'newer', 'version', 'app', 'pioneer', 'car', 'system', 'would', 'nt', 'work', 'spotify', 'anymore', 'mean', 'upgrade', 'apps', 'manually', 'able', 'keep', 'last', 'work', 'version', 'app', 'hope', 'spotify', 'fix', 'break', 'app', 'soon']",Negative Group 62
"['use', 'love', 'app', 'soon', 'hat', 'keep', 'play', 'music', 'song', 'is', 'nt', 'playlist', 'like', 'song', 'i', 've', 'turn', 'option', 'play', 'similar', 'song', 'playlist', 'end', 'something', 'like', 'doe', 'nt', 'work', 'do', 'nt', 'recommend']",Negative Group 63
"['sometimes', 'work']",Negative Group 64
"['annoying', 'disturbing']",Negative Group 65
"['hate', 'ad', 'send', 'work', 'month', 'free', 'premium', 'super', 'upp']",Negative Group 66
"['get', 'ad', 'row', 'try', 'listen', 'single', 'song', 'ad', 'longer', 'sond']",Negative Group 67
"['app', 'stuck', 'load', 'black', 'screen', 'spotify', 'logo', 'restart', 'reinstall', 'luck', 'use', 'note', 'ultra']",Negative Group 68
"['would', 'like', 'able', 'save', 'queue', 'playlist', 'would', 'like', 'able', 'scroll', 'back', 'queue', 'arbitrary', 'number', 'title', 'playlist', 'play', 'able', 'add', 'song', 'queue', 'rearrange', 'playlist', 'sequence', 'save', 'change', 'playlist', 'prompt', 'end', 'playlist', 'trade_mark']",Negative Group 69
"['worst', 'app', 'musicso', 'many', 'ad']",Negative Group 70
"['love', 'app', 'ad', 'level', 'that', 's', 'reason', 'choose', 'favorite', 'artist', 'enjoy', 'different', 'playlist', 'mb', 'resso', 'use', 'mb', 'prefer', 'spotify']",Negative Group 71
"['umm', 'lately', 'auto', 'pausing', 'problem', 'screen', 'lock', 'hope', 'fix', 'soon']",Negative Group 72
"['bad', 'good', 'want', 'listen', 'song', 'like', 'suddenly', 'play', 'different', 'song', 'try', 'add', 'fav', 'song', 'playlist', 'play', 'song', 'add', 'playlist', 'well', 'that', 's', 'okay']",Negative Group 73
"['absolutely', 'love', 'spotify', 'i', 'm', 'obsess', 'music', 'rat', 'start', 'reasom', 'ok', 'basically', 'spotify', 'weird', 'thing', 'like', 'one', 'song', 'playlist', 'literally', 'nothing', 'would', 'play', 'idea', 'fix', 'what', 's', 'weird', 'would', 'work', 'device', 'spotify', 'account', 'phone', 'might', 'phone', 'idk', 'another', 'thing', 'randomly', 'kick', 'app', 'sometimes', 'well', 'that', 's']",Negative Group 74
"['nice', 'app', 'ad', 'disturb']",Negative Group 75
"['stop', 'working', 'morning', 'reason']",Negative Group 76
"['long', 'take', 'fix', 'payment', 'option', 'free', 'plan', 'nice', 'experience', 'want', 'get', 'back', 'premium', 'fail', 'nd', 'month']",Negative Group 77
"['stream', 'trouble', 'new', 'update', 'skip', 'audio', 'app', 'crash']",Negative Group 78
"['recommendation', 'always', 'popular', 'stuff', 'matter', 'listen', 'worst', 'recommendation', 'time', 'little', 'effort', 'put', 'make', 'playlist', 'exclusively', 'norwegian', 'death', 'metal', 'dumb', 'app', 'would', 'trip', 'dick', 'racing', 'suggest', 'island', 'sun', 'weezer', 'play', 'bar', 'exist', 'time', 'make', 'almost', 'impossible', 'use', 'without', 'restart', 'phone']",Negative Group 79
"['ca', 'nt', 'open', 'app', 'i', 've', 'try', 'delete', 'restart', 'phone', 'someone', 'help']",Negative Group 80
"['pricey', 'monthly', 'fee', 'app', 'work', 'way', 'expect', 'unfortunately', 'longer', 'constantly', 'pause', 'do', 'nt', 'want', 'pause', 'button', 'visible', 'want', 'pause', 'currently', 'play', 'information', 'screen', 'way', 'skip', 'forward', 'back', 'etc', 'currently', 'play', 'screen', 'available', 'often', 'uninstall', 'reinstall', 'still', 'rotate', 'landscape', 'mode', 'wait', 'basic', 'feature', 'literally', 'year']",Negative Group 81
"['issue', 'others', 'app', 'keep', 'freeze', 'crash', 'something', 'recent', 'update', 'app', 'play', 'stop', 'constantly']",Negative Group 82
"['please', 'help', 'fix', 'ca', 'nt', 'open', 'app', 'logo', 'stuck', 'screen', 'try', 'restart', 'reinstall', 'app', 'doe', 'nt', 'work', 'fix']",Negative Group 83
"['good', 'do', 'nt', 'like', 'ad', 'much', 'ad']",Negative Group 84
"['live', 'remotely', 'spotify', 'way', 'go', 'love']",Negative Group 85
"['bad', 'want', 'song', 'make', 'new', 'play', 'list', 'get', 'rid', 'song', 'add', 'literally', 'put', 'extra', 'song', 'rate', 'one', 'zero']",Negative Group 86
"['app', 'working', 'moto', 'g', 'g', 'app', 'open', 'nothing', 'happen', 'open', 'app', 'state']",Negative Group 87
"['lot', 'ad', 'come', 'every', 'two', 'song', 'add', 'come', 'please', 'remove', 'add']",Negative Group 88
"['love', 'add', 'play', 'song', 'tv', 'show', 'picture', 'artist', 'profile', 'picture', 'background', 'like', 'solid', 'color', 'album', 'cover', 'corner', 'better', 'could', 'nt', 'find', 'way', 'turn', 'either', 'love', 'mac', 'demarco', 'jumpscared', 'see', 'face', 'nowhere', 'need', 'option', 'take', 'ruin', 'aesthetic']",Negative Group 89
"['absolutely', 'ridiculous', 'lose', 'music', 'end', 'subscription', 'account', 'make', 'whole', 'new', 'one', 'new', 'subscription', 'ca', 'nt', 'like', 'song', 'ca', 'nt', 'add', 'podcasts', 'playlist', 'severely', 'unimpressed']",Negative Group 90
"['love', 'sadly', 'buy', 'subscription', 'fully', 'enjoy', 'service', 'love', 'blend', 'mix', 'song', 'tell', 'sound', 'would', 'better', 'buy', 'subscription', 'still']",Negative Group 91
"['like', 'app', 'wide', 'variety', 'music', 'flaw', 'app', 'amount', 'ad', 'music', 'podcast', 'listen', 'skip', 'per', 'hour', 'good', 'app']",Negative Group 92
